season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
B,R2Z4,R1Z4,R1Z5,04,05,St Joseph's PA,Boston College,24,21,6,8,138,West,West,A,779,527,55.0,54.0,89.0,94.0,70.900000000000006,74.310344827586206,8.4591173692452504,10.014139824908483,81,77
C,R4W1,R3W1,R3W2,01,02,North Carolina,Connecticut,30,29,3,4,145,East,East,A,708,559,50.0,59.0,109.0,100.0,82.575757575757578,76.545454545454547,12.744649032889585,10.976810015971024,75,64
H,R2W1,R1W1,R1W8,01,08,Oklahoma,California,24,21,6,8,138,East,East,A,721,539,45.0,58.0,100.0,88.0,71.166666666666671,74.482758620689651,13.537807142304185,7.6231077455560561,74,65
R,R1Y2,Y02,Y15,02,15,Duke,Albany NY,27,24,5,10,137,Midwest,Midwest,A,577,507,62.0,43.0,98.0,83.0,78.28125,64.411764705882348,8.9590539923308867,10.218546135390653,73,61
L,R5YZ,R4Y1,R4Z1,01,02,Florida,UCLA,29,25,5,5,152,Midwest,West,A,592,810,56.0,51.0,101.0,96.0,79.32352941176471,71.966666666666669,10.104514390739634,11.10700479677377,76,66
Q,R1Z1,Z01,Z16,01,16,Michigan St,Long Island,27,25,7,8,137,West,West,A,671,648,41.0,53.0,110.0,106.0,72.147058823529406,81.878787878787875,13.180048096272985,11.588284511725691,89,67
C,R2Y4,R1Y4,R1Y5,13,12,Valparaiso,Florida St,20,17,8,13,139,Midwest,Midwest,A,826,595,51.0,49.0,102.0,90.0,73.535714285714292,70.466666666666669,12.315733673572492,10.065562853390542,83,77
R,R1Z4,Z04,Z13,04,13,Kansas St,La Salle,26,21,7,9,137,West,West,B,637,641,52.0,54.0,85.0,100.0,68.666666666666671,72.433333333333337,9.1772665986241364,11.397904290799348,61,63
J,R1W4,W04,W13,04,13,Louisville,ULL,27,19,4,10,137,Albuquerque,Albuquerque,A,651,811,53.0,44.0,107.0,91.0,80.548387096774192,72.34482758620689,13.835062306019672,11.63015065597253,68,62
L,R1W8,W08,W09,08,09,Marquette,Michigan St,23,22,9,11,136,East,East,B,660,671,58.0,38.0,95.0,91.0,72.4375,65.090909090909093,9.6628719203971656,11.745698468243047,49,61
G,R2Z1,R1Z1,R1Z8,01,08,Cincinnati,UCLA,30,19,3,11,139,West,West,B,549,810,54.0,51.0,103.0,98.0,77.181818181818187,73.933333333333337,10.558508117338919,10.993735589972237,101,105
B,R5WX,R4W1,R4X1,01,04,North Carolina,Arizona,24,19,6,9,152,East,Southeast,B,708,511,45.0,62.0,106.0,118.0,77.86666666666666,85.107142857142861,14.34975803125459,13.294304058812678,58,66
N,R3Y1,R2Y1,R2Y4,01,12,Louisville,Arizona,28,19,5,13,144,Midwest,Midwest,A,651,511,51.0,47.0,99.0,106.0,73.939393939393938,72.1875,12.429045634732635,13.725973326143396,103,64
Q,R1W8,W08,W09,08,09,Kansas St,Southern Miss,21,23,10,8,136,East,East,A,637,772,49.0,52.0,92.0,86.0,71.41935483870968,70.741935483870961,9.2449609414844662,8.9116369805584554,70,64
D,R2W1,R1W1,R1W8,01,09,Duke,Tulsa,32,22,1,9,139,East,East,A,577,802,71.0,52.0,120.0,103.0,93.333333333333329,71.0,12.199519778593041,12.861545585142933,97,56
L,R1X8,X08,X09,08,09,BYU,Xavier,24,24,8,8,136,South,South,B,536,853,61.0,56.0,96.0,98.0,77.34375,76.40625,8.7450320718394163,10.337611471587621,77,79
P,R1Y1,Y01,Y16,01,16,Pittsburgh,UNC Asheville,27,16,5,13,136,Southeast,Southeast,A,731,814,51.0,49.0,97.0,100.0,74.0625,71.793103448275858,11.382380847169014,11.937709912492247,74,51
J,R3Z2,R2Z2,R2Z3,10,06,NC State,Wisconsin,19,22,13,8,144,Syracuse,Syracuse,B,695,849,45.0,43.0,100.0,89.0,73.84375,67.166666666666671,12.394831016899746,9.6058431291699851,56,65
N,R1X1,X01,X16,01,16,North Carolina,Radford,27,18,4,11,136,South,South,A,708,740,69.0,53.0,116.0,108.0,89.387096774193552,74.793103448275858,11.412153734576243,13.616367712387678,101,58
G,R4Y1,R3Y1,R3Y2,05,10,Indiana,Kent,19,26,11,5,145,South,South,A,625,639,49.0,56.0,88.0,116.0,69.166666666666671,75.967741935483872,10.705398430490831,11.56045503895051,81,69
Q,R2Z2,R1Z2,R1Z7,15,07,Norfolk St,Florida,24,23,8,10,139,West,West,B,707,592,36.0,56.0,90.0,107.0,69.5625,76.272727272727266,10.416145820311849,12.738090640596182,50,84
Q,R1X8,X08,X09,08,09,Creighton,Alabama,28,21,5,11,137,Midwest,Midwest,A,562,504,57.0,51.0,104.0,82.0,80.030303030303031,64.9375,12.908735234821345,7.9330696297208938,58,57
F,R3W1,R2W1,R2W4,01,04,Duke,UCLA,29,21,4,8,143,East,East,A,577,810,63.0,63.0,115.0,98.0,91.424242424242422,80.862068965517238,10.657278926773413,10.718093429050919,76,63
B,R1X5,X05,X12,05,12,Maryland,Col Charleston,21,25,10,2,136,Southeast,Southeast,B,662,554,54.0,49.0,108.0,97.0,75.483870967741936,80.296296296296291,12.294428236431736,10.543788112631074,66,75
A,R4Y1,R3Y1,R3Y2,05,02,Mississippi St,Cincinnati,22,25,7,4,146,Southeast,Southeast,A,675,549,53.0,62.0,123.0,103.0,74.517241379310349,80.448275862068968,15.471042337564125,11.306349168060706,73,63
J,R2W2,R1W2,R1W7,02,07,Wake Forest,West Virginia,26,21,5,10,138,Albuquerque,Albuquerque,B,839,843,55.0,46.0,103.0,96.0,84.709677419354833,70.225806451612897,11.892512006780805,11.647261002732138,105,111
M,R1X4,X04,X13,04,13,Vanderbilt,Siena,26,22,7,10,137,Midwest,Midwest,B,827,766,58.0,52.0,97.0,97.0,80.575757575757578,76.8125,11.260093931010076,11.08049384052895,62,83
C,R3X1,R2X1,R2X4,01,04,Arizona,Maryland,27,19,4,10,143,West,West,A,511,662,70.0,59.0,127.0,117.0,92.193548387096769,79.034482758620683,13.38371508006775,13.845160385917227,87,79
E,R1W1,W01,W16,01,16,Michigan St,Valparaiso,26,17,7,12,136,Midwest,Midwest,A,671,826,49.0,42.0,114.0,92.0,74.515151515151516,65.793103448275858,12.794698741515333,13.409670494922757,65,38
Q,R1Z2,Z02,Z15,02,15,Missouri,Norfolk St,30,24,4,8,137,West,West,B,676,707,59.0,36.0,104.0,90.0,80.294117647058826,69.5625,9.4512041304571834,10.416145820311849,84,86
I,R4X1,R3X1,R3X2,08,02,Alabama,Connecticut,17,27,12,6,145,Phoenix,Phoenix,B,504,559,45.0,56.0,101.0,111.0,72.206896551724142,79.090909090909093,12.211863396303945,14.024575046473236,71,87
C,R4Y1,R3Y1,R3Y2,08,03,Rhode Island,Stanford,22,25,8,4,146,Midwest,Midwest,B,741,783,57.0,56.0,96.0,99.0,77.13333333333334,80.275862068965523,9.3763295353542038,12.002576021562575,77,79
D,R1W5,W05,W12,05,12,Wisconsin,Missouri St,22,20,9,10,137,East,East,B,849,678,39.0,51.0,87.0,91.0,63.064516129032256,74.299999999999997,10.432379754711484,10.126368220311431,32,43
C,R2X4,R1X4,R1X5,04,05,Maryland,Illinois,19,22,10,9,138,West,West,A,662,623,59.0,47.0,117.0,105.0,79.034482758620683,70.193548387096769,13.845160385917227,11.844201943018934,67,61
B,R1X4,X04,X13,04,13,Arizona,South Alabama,19,21,9,6,136,Southeast,Southeast,A,511,768,62.0,36.0,118.0,92.0,85.107142857142861,65.148148148148152,13.294304058812678,13.40177905189568,65,57
M,R1X6,X06,X11,06,11,USC,Kansas St,21,19,11,11,136,Midwest,Midwest,B,818,637,46.0,59.0,95.0,101.0,69.0625,78.766666666666666,12.427131356431378,9.8849492776757444,67,80
E,R2Z4,R1Z4,R1Z5,04,05,Tennessee,Connecticut,23,24,6,9,139,South,South,A,790,559,60.0,57.0,110.0,98.0,80.34482758620689,75.303030303030297,12.332395975134551,9.9040391163031849,65,51
E,R1W6,W06,W11,06,11,UCLA,Ball St,19,21,11,8,136,Midwest,Midwest,A,810,520,43.0,50.0,105.0,93.0,75.533333333333331,73.862068965517238,14.623573054793717,11.961790138001444,65,57
A,R1X1,X01,X16,01,16,Kentucky,San Jose St,28,13,2,16,136,Midwest,Midwest,A,640,756,61.0,48.0,129.0,96.0,91.900000000000006,72.034482758620683,15.159925241680227,11.140119353724177,110,72
H,R3X2,R2X2,R2X3,07,06,Michigan St,Maryland,19,19,12,9,144,South,South,A,671,662,40.0,52.0,82.0,108.0,67.225806451612897,80.785714285714292,9.56711328498311,12.470986737386967,60,58
R,R1X3,X03,X14,03,14,Florida,Northwestern LA,26,19,7,8,137,South,South,A,592,716,57.0,55.0,84.0,103.0,71.63636363636364,77.962962962962962,8.6368420920099069,12.273070434390782,79,47
L,R1Z7,Z07,Z10,07,10,Indiana,Gonzaga,20,23,10,10,136,West,West,A,625,607,43.0,54.0,94.0,97.0,70.900000000000006,79.121212121212125,13.108139964668265,10.344834974612901,70,57
A,R1Z7,Z07,Z10,07,10,Maryland,Santa Clara,17,19,12,8,137,West,West,B,662,758,47.0,49.0,118.0,98.0,81.41379310344827,70.81481481481481,14.055351763601404,11.274478018752623,79,91
A,R1Y7,Y07,Y10,07,10,Temple,Oklahoma,19,17,12,12,137,Southeast,Southeast,A,789,721,35.0,58.0,77.0,119.0,59.838709677419352,80.275862068965523,9.4871620359493161,16.094326590285416,61,43
C,R1Y5,Y05,Y12,05,12,TCU,Florida St,26,17,5,13,137,Midwest,Midwest,B,788,595,57.0,49.0,153.0,90.0,97.322580645161295,70.466666666666669,20.802275149723087,10.065562853390542,87,96
B,R3Y1,R2Y1,R2Y4,01,04,Minnesota,Clemson,26,21,3,9,143,Midwest,Midwest,A,673,551,55.0,47.0,114.0,89.0,77.379310344827587,67.733333333333334,13.993628582454448,11.316458024586236,90,84
I,R2W2,R1W2,R1W7,02,07,Mississippi St,Xavier,25,23,3,10,139,Atlanta,Atlanta,B,675,853,61.0,44.0,105.0,93.0,77.107142857142861,70.424242424242422,9.2131090057059666,10.444747274979907,74,89
F,R1Z6,Z06,Z11,06,11,Texas,Temple,25,21,8,12,137,South,South,B,793,789,45.0,51.0,94.0,92.0,70.63636363636364,69.818181818181813,10.22420829510569,10.276346908562592,65,79
B,R4Y1,R3Y1,R3Y2,01,02,Minnesota,UCLA,26,21,3,7,145,Midwest,Midwest,A,673,810,55.0,61.0,114.0,96.0,77.379310344827587,78.821428571428569,13.993628582454448,10.014466576724219,80,72
I,R2X4,R1X4,R1X5,04,05,Maryland,Syracuse,19,21,11,7,138,Phoenix,Phoenix,B,662,786,60.0,45.0,96.0,101.0,77.36666666666666,72.928571428571431,9.7859877148684156,14.596791651955996,70,72
D,R2W4,R1W4,R1W5,04,12,Tennessee,Missouri St,20,20,8,10,139,East,East,B,790,678,47.0,51.0,100.0,91.0,73.75,74.299999999999997,13.993940014979954,10.126368220311431,51,81
O,R2W2,R1W2,R1W7,02,10,West Virginia,Missouri,27,22,6,10,139,East,East,A,843,676,53.0,52.0,95.0,106.0,72.969696969696969,77.5625,9.9589607845483883,14.777384536852251,68,59
E,R4W1,R3W1,R3W2,01,02,Michigan St,Iowa St,26,27,7,4,145,Midwest,Midwest,A,671,629,49.0,44.0,114.0,106.0,74.515151515151516,77.41935483870968,12.794698741515333,11.315915692990279,75,64
L,R1X6,X06,X11,06,11,Louisville,Stanford,22,18,9,12,136,South,South,A,651,783,49.0,45.0,100.0,92.0,71.290322580645167,69.933333333333337,11.475622264067193,12.648934957361258,78,58
J,Z16,Z16a,Z16b,16,16,Alabama A&M,Oakland,16,11,13,18,134,Syracuse,Syracuse,B,505,718,47.0,52.0,96.0,94.0,69.068965517241381,70.34482758620689,9.0969151060723217,11.591542285497662,69,79
C,R1X3,X03,X14,03,14,Utah,San Francisco,24,19,3,10,136,West,West,A,821,755,51.0,52.0,89.0,109.0,69.18518518518519,73.41379310344827,10.183636245856814,13.005349672158948,85,68
C,R2Z4,R1Z4,R1Z5,04,05,New Mexico,Syracuse,23,24,7,8,139,South,South,B,701,786,51.0,54.0,112.0,85.0,76.599999999999994,71.71875,15.007997867803688,8.5558254094797892,46,56
K,R2Y3,R1Y3,R1Y6,03,11,Florida,WI Milwaukee,27,20,6,8,138,Minneapolis,Minneapolis,A,592,845,49.0,52.0,113.0,98.0,79.272727272727266,73.535714285714292,11.330497133367812,10.851208434538336,82,60
N,R2X1,R1X1,R1X8,01,08,North Carolina,LSU,27,26,4,7,138,South,South,A,708,655,69.0,53.0,116.0,97.0,89.387096774193552,74.909090909090907,11.412153734576243,10.91388783424139,84,70
L,R1X1,X01,X16,01,16,Ohio St,Central Conn,30,22,3,11,136,South,South,A,720,544,49.0,40.0,107.0,103.0,73.63636363636364,69.303030303030297,11.514992024413827,13.903312987535912,78,57
K,R1Z5,Z05,Z12,05,12,Washington,Utah St,24,22,6,8,136,WashingtonDC,WashingtonDC,A,840,822,54.0,57.0,118.0,96.0,82.400000000000006,71.466666666666669,14.221111067704941,10.206969296623864,75,61
Q,X12,X12a,X12b,12,12,California,South Florida,24,19,9,13,135,Midwest,Midwest,B,539,771,53.0,40.0,86.0,83.0,71.666666666666671,58.8125,8.9023887385647935,11.846511881140373,54,65
E,R1Y5,Y05,Y12,05,12,Florida,Butler,24,23,7,7,137,East,East,A,592,535,60.0,43.0,131.0,86.0,84.806451612903231,67.966666666666669,14.085955839952005,10.821224001419104,69,68
C,R1Y4,Y04,Y13,04,13,Mississippi,Valparaiso,22,20,6,8,137,Midwest,Midwest,B,674,826,66.0,51.0,106.0,102.0,80.892857142857139,73.535714285714292,10.83756458446495,12.315733673572492,69,70
J,R2Y1,R1Y1,R1Y8,01,09,Duke,Mississippi St,25,22,5,10,139,Austin,Austin,A,577,675,58.0,49.0,102.0,104.0,79.766666666666666,72.4375,12.093202865889401,12.999849758747214,63,55
F,R1X2,X02,X15,02,15,Iowa St,Hampton,24,24,5,6,136,West,West,B,629,610,49.0,61.0,109.0,94.0,79.034482758620683,78.433333333333337,13.614097051423016,8.2408872230010655,57,58
H,R2Z4,R1Z4,R1Z5,04,05,Illinois,Notre Dame,24,22,6,9,138,West,West,B,623,717,59.0,55.0,96.0,102.0,75.433333333333337,80.096774193548384,10.281644918116079,12.614264426177517,60,68
B,R2X3,R1X3,R1X6,14,06,Chattanooga,Illinois,18,21,10,9,139,Southeast,Southeast,A,547,623,49.0,45.0,92.0,96.0,73.892857142857139,76.5,9.2131090057059666,12.333558556502121,75,63
F,R1Z4,Z04,Z13,04,13,Oklahoma,Indiana St,26,20,6,11,137,South,South,B,721,626,44.0,54.0,103.0,92.0,74.5625,72.774193548387103,13.495224849923769,9.3901447218891647,68,70
A,R1Y8,Y08,Y09,08,09,Duke,E Michigan,18,22,12,5,136,Southeast,Southeast,B,577,581,48.0,62.0,107.0,109.0,75.86666666666666,83.111111111111114,11.718172022783907,10.407736913196883,60,75
G,R1X8,X08,X09,08,09,Stanford,W Kentucky,19,26,9,3,136,Midwest,Midwest,A,783,835,54.0,45.0,105.0,101.0,81.178571428571431,76.551724137931032,10.505282927544364,14.51179355557962,84,68
D,R3W1,R2W1,R2W4,01,12,Duke,Missouri St,32,20,1,10,144,East,East,A,577,678,71.0,51.0,120.0,91.0,93.333333333333329,74.299999999999997,12.199519778593041,10.126368220311431,78,61
R,R2Y2,R1Y2,R1Y7,02,07,Duke,Creighton,27,27,5,7,139,Midwest,Midwest,A,577,562,62.0,54.0,98.0,105.0,78.28125,75.382352941176464,8.9590539923308867,10.916837254449588,66,50
I,R1Z6,Z06,Z11,06,11,Boston College,Utah,23,23,9,8,137,StLouis,StLouis,A,527,821,52.0,44.0,92.0,87.0,68.75,64.903225806451616,10.641898326896381,11.182806038043196,58,51
O,R1Z1,Z01,Z16,01,16,Syracuse,Vermont,28,25,4,9,137,West,West,A,786,828,59.0,50.0,101.0,88.0,81.46875,70.617647058823536,10.577051736542655,9.2673198926701339,79,56
K,R3Z2,R2Z2,R2Z3,07,11,Wichita St,George Mason,23,23,8,7,144,WashingtonDC,WashingtonDC,B,846,602,49.0,49.0,97.0,95.0,68.322580645161295,69.400000000000006,11.844114086818012,9.6939843889565509,55,63
J,R1Y2,Y02,Y15,02,15,Kentucky,E Kentucky,25,19,5,8,136,Austin,Austin,A,640,580,52.0,49.0,94.0,95.0,73.733333333333334,70.370370370370367,11.462790042374307,10.642848922922806,72,64
D,R3X2,R2X2,R2X3,10,03,Miami OH,Kentucky,22,25,7,8,144,Midwest,Midwest,B,669,640,43.0,46.0,83.0,103.0,68.793103448275858,75.515151515151516,9.653940808148219,13.729245961596465,43,58
P,R1Z3,Z03,Z14,03,14,Purdue,St Peter's,25,20,7,13,137,Southwest,Southwest,A,738,782,54.0,30.0,103.0,85.0,72.65625,61.393939393939391,10.257952326731685,11.318901847203636,65,43
R,R1Y6,Y06,Y11,06,11,Memphis,St Mary's CA,30,26,4,6,136,Midwest,Midwest,A,666,781,52.0,51.0,94.0,120.0,75.852941176470594,74.875,11.183318335652427,12.330728891675463,54,52
B,R1Z5,Z05,Z12,05,12,Boston College,Valparaiso,21,22,8,6,136,West,West,A,527,826,54.0,50.0,94.0,102.0,74.310344827586206,74.571428571428569,10.014139824908483,12.759950099064348,73,66
G,R2Y3,R1Y3,R1Y6,03,06,Pittsburgh,California,27,22,5,8,139,South,South,A,731,539,53.0,53.0,92.0,107.0,72.59375,72.599999999999994,8.753068658333488,13.167130793507496,63,50
K,R1W1,W01,W16,01,16,Duke,Southern Univ,30,19,3,12,136,Atlanta,Atlanta,A,577,773,64.0,44.0,104.0,89.0,82.515151515151516,65.774193548387103,9.6141348343679276,10.566867504883593,70,54
O,R1X5,X05,X12,05,12,Texas A&M,Utah St,22,26,9,7,137,South,South,A,794,822,54.0,52.0,89.0,98.0,71.225806451612897,73.575757575757578,7.7945790815998022,10.32511003105302,69,53
K,R4W1,R3W1,R3W2,04,02,LSU,Texas,22,27,8,6,145,Atlanta,Atlanta,A,655,793,50.0,43.0,104.0,110.0,74.766666666666666,76.121212121212125,11.881872280448436,12.194776765031165,70,60
R,Y11,Y11a,Y11b,11,11,Middle Tenn St,St Mary's CA,28,26,5,6,134,Midwest,Midwest,B,672,781,45.0,51.0,97.0,120.0,71.242424242424249,74.875,11.695713545362244,12.330728891675463,54,67
R,R5WX,R4W1,R4X1,04,04,Syracuse,Michigan,26,25,9,7,152,East,South,B,786,670,39.0,52.0,108.0,95.0,71.342857142857142,74.375,14.565993384088367,11.09264959331178,56,61
G,R3Y2,R2Y2,R2Y3,10,03,Kent,Pittsburgh,26,27,5,5,143,South,South,A,639,731,56.0,53.0,116.0,92.0,75.967741935483872,72.59375,11.56045503895051,8.753068658333488,78,73
D,R1Y2,Y02,Y15,02,15,Maryland,Valparaiso,25,21,5,8,136,South,South,A,662,826,62.0,49.0,132.0,104.0,85.733333333333334,72.275862068965523,14.769187143810214,12.185057417051308,82,60
A,R2W1,R1W1,R1W8,01,09,Massachusetts,Stanford,31,19,1,8,138,East,East,A,663,783,50.0,56.0,94.0,99.0,73.6875,75.592592592592595,9.573523058414807,11.583063175935928,79,74
D,R1W6,W06,W11,06,11,Temple,Kent,21,21,10,6,137,East,East,A,789,639,49.0,49.0,85.0,93.0,66.612903225806448,69.370370370370367,8.6906602420211811,12.135494765198455,61,54
G,R1W1,W01,W16,01,16,Maryland,Siena,26,16,4,18,137,East,East,A,662,766,56.0,54.0,112.0,92.0,85.299999999999997,69.588235294117652,12.36702605048333,9.5889570280512348,85,70
C,R3W2,R2W2,R2W3,02,11,Connecticut,Washington,29,18,4,9,143,East,East,A,559,840,59.0,52.0,100.0,101.0,76.545454545454547,79.074074074074076,10.976810015971024,11.54997491075013,75,74
B,R2Y1,R1Y1,R1Y8,01,09,Minnesota,Temple,26,19,3,10,139,Midwest,Midwest,A,673,789,55.0,45.0,114.0,83.0,77.379310344827587,66.758620689655174,13.993628582454448,7.854957461259267,76,57
R,R1Z8,Z08,Z09,08,09,Pittsburgh,Wichita St,24,26,8,8,136,West,West,B,731,846,42.0,52.0,93.0,94.0,69.59375,69.441176470588232,11.056274731459055,9.2678799418160871,55,73
P,R2Y2,R1Y2,R1Y7,02,07,Florida,UCLA,26,22,7,10,138,Southeast,Southeast,A,592,810,45.0,52.0,105.0,86.0,71.545454545454547,69.96875,12.723376026851566,8.6728180793499874,73,65
G,R1Z8,Z08,Z09,08,09,UCLA,Mississippi,19,19,11,10,137,West,West,A,810,674,51.0,56.0,98.0,95.0,73.933333333333337,72.379310344827587,10.993735589972237,8.9535729454722706,80,58
H,R1Y3,Y03,Y14,03,14,Marquette,Holy Cross,23,25,5,4,136,Midwest,Midwest,A,660,616,60.0,49.0,105.0,92.0,78.392857142857139,69.34482758620689,11.935359488614031,10.835051237308528,72,68
F,R2X3,R1X3,R1X6,03,11,Maryland,Georgia St,21,27,10,4,138,West,West,A,662,605,62.0,64.0,123.0,97.0,85.741935483870961,80.903225806451616,14.895263897510604,10.69324429091286,79,60
O,R2Y2,R1Y2,R1Y7,02,10,Ohio St,Georgia Tech,27,21,7,12,139,Midwest,Midwest,A,720,606,43.0,57.0,111.0,100.0,74.235294117647058,72.515151515151516,13.68137167084674,9.8476922758005259,75,66
E,R2X1,R1X1,R1X8,01,08,Arizona,Wisconsin,26,18,6,13,138,West,West,B,511,849,60.0,44.0,99.0,86.0,77.15625,59.967741935483872,9.7951179644504531,10.544785811213542,59,66
O,R4Z1,R3Z1,R3Z2,05,02,Butler,Kansas St,28,25,4,7,145,West,West,A,535,637,48.0,63.0,91.0,95.0,70.09375,79.46875,8.1676166007899766,8.8104496728316875,63,56
H,R1W7,W07,W10,07,10,St Joseph's PA,Auburn,23,19,6,11,137,East,East,B,779,518,50.0,45.0,92.0,100.0,70.620689655172413,70.099999999999994,10.209575603673953,14.171214956147313,63,65
O,R5YZ,R4Y1,R4Z1,05,05,Michigan St,Butler,24,28,8,4,152,Midwest,West,B,671,535,49.0,48.0,106.0,91.0,72.625,70.09375,12.606421974533456,8.1676166007899766,50,52
R,R1Z3,Z03,Z14,03,14,New Mexico,Harvard,29,18,5,9,136,West,West,B,701,612,34.0,49.0,91.0,92.0,67.441176470588232,68.925925925925924,11.627025254250364,10.452452931767228,62,68
Q,R3W1,R2W1,R2W4,01,04,Syracuse,Wisconsin,31,24,2,9,143,East,East,A,786,849,52.0,41.0,98.0,85.0,74.575757575757578,63.878787878787875,12.19296941741255,9.6726968937018203,64,63
K,R1Y8,Y08,Y09,08,09,Arizona,Wisconsin,19,19,12,11,137,Minneapolis,Minneapolis,A,511,849,59.0,44.0,96.0,95.0,72.935483870967744,71.0,8.5607336280099204,12.561846997953765,94,75
G,R2X2,R1X2,R1X7,02,07,Oregon,Wake Forest,22,20,8,12,138,Midwest,Midwest,A,725,839,58.0,60.0,115.0,115.0,86.400000000000006,81.84375,12.87529934927081,13.802421379508017,92,87
L,R4W1,R3W1,R3W2,01,02,North Carolina,Georgetown,28,26,6,6,146,East,East,B,708,603,69.0,50.0,105.0,89.0,86.264705882352942,68.46875,10.949909544427381,9.340718571796284,84,96
E,R3W2,R2W2,R2W3,02,06,Iowa St,UCLA,27,19,4,11,143,Midwest,Midwest,A,629,810,44.0,43.0,106.0,105.0,77.41935483870968,75.533333333333331,11.315915692990279,14.623573054793717,80,56
Q,R1W7,W07,W10,07,10,Gonzaga,West Virginia,25,19,6,13,136,East,East,A,607,843,62.0,44.0,92.0,97.0,73.967741935483872,71.625,7.0137370783606121,13.192682630913245,77,54
P,W16,W16a,W16b,16,16,Alabama St,UT San Antonio,15,16,17,13,135,East,East,B,506,820,38.0,52.0,90.0,97.0,61.5625,70.482758620689651,12.247289240889186,9.7613618667407351,61,70
B,R1Y8,Y08,Y09,08,09,Mississippi,Temple,20,19,8,10,137,Midwest,Midwest,B,674,789,46.0,45.0,93.0,83.0,70.035714285714292,66.758620689655174,11.066300655778408,7.854957461259267,40,62
R,R1W2,W02,W15,02,15,Miami FL,Pacific,27,20,6,12,137,East,East,A,668,727,45.0,46.0,90.0,80.0,69.909090909090907,66.84375,11.204338002873914,8.3220692100883173,78,49
R,R4Y1,R3Y1,R3Y2,01,02,Louisville,Duke,29,27,5,5,146,Midwest,Midwest,A,651,577,51.0,62.0,101.0,98.0,73.558823529411768,78.28125,10.806292220604318,8.9590539923308867,85,63
Q,X16,X16a,X16b,16,16,Lamar,Vermont,21,23,11,11,135,Midwest,Midwest,B,643,828,48.0,43.0,103.0,92.0,72.625,67.235294117647058,12.601463208691282,12.558238035670197,59,71
E,R1Z1,Z01,Z16,01,16,Stanford,S Carolina St,25,20,3,13,137,South,South,A,783,747,62.0,43.0,119.0,98.0,79.928571428571431,70.333333333333329,13.881973334993459,13.171748156374289,84,65
D,R2Y3,R1Y3,R1Y6,03,06,St John's,Indiana,25,22,8,10,138,South,South,A,778,625,53.0,52.0,115.0,106.0,79.36363636363636,74.875,13.215734840822137,13.527171729522768,86,61
R,R4W1,R3W1,R3W2,04,03,Syracuse,Marquette,26,23,9,8,145,East,East,A,786,660,39.0,47.0,108.0,89.0,71.342857142857142,69.0,14.565993384088367,11.489125293076057,55,39
N,R2Y3,R1Y3,R1Y6,03,11,Kansas,Dayton,25,26,7,7,139,Midwest,Midwest,A,636,569,60.0,45.0,100.0,91.0,77.125,67.515151515151516,10.291835356242345,11.116793771808576,60,43
F,R6CH,R5WX,R5YZ,01,02,Duke,Arizona,29,22,4,7,154,East,Midwest,A,577,511,63.0,65.0,115.0,105.0,91.424242424242422,81.034482758620683,10.657278926773413,10.974838805259369,82,72
M,R1X5,X05,X12,05,12,Clemson,Villanova,23,20,9,12,137,Midwest,Midwest,B,551,829,55.0,53.0,97.0,103.0,79.1875,72.84375,9.358944585261737,11.573432331745842,69,75
Q,R1Y6,Y06,Y11,06,11,UNLV,Colorado,24,21,8,11,136,South,South,B,817,556,45.0,50.0,124.0,87.0,75.9375,66.28125,15.923523283180767,9.6444102171931689,64,68
J,R3Z1,R2Z1,R2Z4,01,05,North Carolina,Villanova,27,22,4,7,144,Syracuse,Syracuse,A,708,829,66.0,52.0,110.0,94.0,88.774193548387103,73.758620689655174,12.023390315223759,9.9191739520287872,67,66
B,R2X2,R1X2,R1X7,02,10,Duke,Providence,23,20,8,11,139,Southeast,Southeast,B,577,737,60.0,56.0,104.0,100.0,79.709677419354833,74.677419354838705,12.163386488296904,9.5356279180703911,87,98
A,R1Y5,Y05,Y12,05,12,Mississippi St,VA Commonwealth,22,24,7,8,136,Southeast,Southeast,A,675,825,53.0,46.0,123.0,94.0,74.517241379310349,74.59375,15.471042337564125,9.7238732477084451,58,51
H,R1Y8,Y08,Y09,08,09,Oregon,Utah,23,23,9,7,137,Midwest,Midwest,B,725,821,52.0,41.0,108.0,86.0,82.21875,66.733333333333334,12.861605593295884,12.082862059775225,58,60
C,R2X1,R1X1,R1X8,01,09,Arizona,Illinois St,27,23,4,5,138,West,West,A,511,624,70.0,56.0,127.0,105.0,92.193548387096769,76.107142857142861,13.38371508006775,10.004782019879601,82,49
Q,R3Z2,R2Z2,R2Z3,07,03,Florida,Marquette,23,25,10,7,143,West,West,A,592,660,56.0,57.0,107.0,99.0,76.272727272727266,75.9375,12.738090640596182,12.866957439503715,68,58
D,R4Z1,R3Z1,R3Z2,01,10,Connecticut,Gonzaga,28,24,2,6,145,West,West,A,559,607,42.0,48.0,111.0,105.0,77.533333333333331,78.966666666666669,15.734745699318506,12.338242266312582,67,62
